iter	Passed	Remaining
408	5137	7424
409	5151	7413
410	5164	7401
411	5176	7388
412	5190	7376
413	5203	7364
414	5217	7355
415	5230	7342
416	5243	7330
417	5256	7318
418	5269	7306
419	5282	7294
420	5295	7283
421	5310	7274
422	5324	7262
423	5336	7249
424	5350	7238
425	5363	7226
426	5375	7213
427	5389	7202
428	5402	7190
429	5414	7177
430	5428	7166
431	5441	7154
432	5455	7144
433	5468	7131
434	5480	7118
435	5493	7106
436	5506	7093
437	5519	7082
438	5531	7068
439	5543	7055
440	5555	7042
441	5568	7030
442	5582	7019
443	5595	7006
444	5608	6994
445	5620	6981
446	5632	6968
447	5646	6957
448	5659	6945
449	5674	6935
450	5686	6922
451	5699	6909
452	5710	6895
453	5723	6883
454	5737	6872
455	5749	6859
456	5762	6847
457	5775	6834
458	5787	6821
459	5800	6809
460	5814	6798
461	5828	6787
462	5840	6773
463	5853	6761
464	5865	6748
465	5879	6737
466	5893	6726
467	5907	6714
468	5921	6704
469	5937	6695
470	5953	6686
471	5966	6674
472	5978	6661
473	5991	6648
474	6003	6635
475	6017	6624
476	6029	6611
477	6042	6598
478	6055	6586
479	6070	6576
480	6082	6563
481	6095	6550
482	6107	6537
483	6120	6524
484	6135	6514
485	6148	6502
486	6161	6490
487	6174	6478
488	6188	6466
489	6202	6455
490	6215	6443
491	6232	6435
492	6244	6422
493	6259	6411
494	6272	6399
495	6285	6386
496	6298	6374
497	6311	6362
498	6324	6349
499	6339	6339
500	6351	6326
501	6366	6315
502	6380	6304
503	6394	6293
504	6407	6280
505	6420	6268
506	6433	6255
507	6448	6245
508	6464	6235
509	6475	6221
510	6487	6208
511	6499	6195
512	6512	6182
513	6526	6171
514	6539	6158
515	6552	6145
516	6565	6133
517	6577	6120
518	6590	6107
519	6602	6094
520	6615	6082
521	6627	6069
522	6640	6056
523	6653	6044
524	6666	6031
525	6679	6018
526	6691	6006
527	6704	5993
528	6717	5980
529	6731	5969
530	6746	5958
531	6758	5945
532	6771	5932
533	6783	5919
534	6795	5906
535	6810	5895
536	6822	5882
537	6835	5869
538	6847	5856
539	6859	5843
540	6871	5830
541	6884	5817
542	6897	5805
543	6910	5792
544	6923	5779
545	6935	5766
546	6948	5754
547	6961	5741
548	6973	5728
549	6989	5718
550	7002	5706
551	7015	5694
552	7029	5682
553	7042	5669
554	7055	5657
555	7067	5644
556	7080	5631
557	7093	5618
558	7105	5605
559	7116	5591
560	7128	5578
561	7141	5566
562	7154	5553
563	7166	5540
564	7178	5527
565	7190	5513
566	7202	5500
567	7214	5487
568	7227	5474
569	7241	5462
570	7253	5449
571	7266	5436
572	7277	5423
573	7290	5410
574	7302	5397
575	7313	5383
576	7326	5370
577	7338	5357
578	7350	5344
579	7363	5332
580	7376	5319
581	7389	5307
582	7401	5294
583	7414	5281
584	7427	5268
585	7439	5256
586	7454	5244
587	7466	5231
588	7480	5219
589	7492	5206
590	7506	5194
591	7518	5181
592	7532	5169
593	7583	5183
594	7599	5173
595	7613	5160
596	7626	5148
597	7639	5135
598	7652	5122
599	7664	5109
600	7678	5098
601	7691	5085
602	7705	5072
603	7718	5060
604	7734	5049
605	7748	5037
606	7761	5025
607	7775	5013
608	7789	5001
609	7802	4988
610	7815	4975
611	7832	4965
612	7845	4953
613	7858	4940
614	7871	4927
615	7884	4914
616	7897	4902
617	7909	4889
618	7922	4876
619	7935	4863
620	7948	4850
621	7960	4837
622	7972	4824
623	7986	4812
624	7999	4799
625	8012	4787
626	8025	4774
627	8037	4761
628	8050	4748
629	8064	4736
630	8077	4723
631	8092	4711
632	8104	4698
633	8117	4686
634	8131	4673
635	8144	4661
636	8158	4649
637	8171	4636
638	8184	4623
639	8197	4611
640	8210	4598
641	8223	4585
642	8235	4572
643	8248	4559
644	8261	4546
645	8273	4533
646	8286	4521
647	8299	4508
648	8311	4495
649	8323	4482
650	8336	4469
651	8348	4456
652	8361	4443
653	8375	4431
654	8388	4418
655	8401	4405
656	8415	4393
657	8428	4380
658	8440	4367
659	8454	4355
660	8467	4342
661	8479	4329
662	8491	4316
663	8504	4303
664	8517	4290
665	8529	4277
666	8541	4264
667	8554	4251
668	8566	4238
669	8579	4225
670	8592	4213
671	8605	4200
672	8618	4187
673	8631	4174
674	8643	4161
675	8656	4149
676	8669	4136
677	8688	4126
678	8700	4113
679	8713	4100
680	8726	4087
681	8739	4075
682	8752	4062
683	8765	4049
684	8780	4037
685	8793	4025
686	8807	4012
687	8819	3999
688	8832	3986
689	8844	3973
690	8856	3960
691	8869	3947
692	8882	3934
693	8894	3921
694	8908	3909
695	8919	3896
696	8932	3883
697	8945	3870
698	8959	3857
699	8972	3845
700	8985	3832
701	8998	3819
702	9010	3806
703	9024	3794
704	9037	3781
705	9049	3768
706	9062	3755
707	9074	3742
708	9087	3729
709	9100	3716
710	9113	3704
711	9126	3691
712	9138	3678
713	9152	3665
714	9165	3653
715	9178	3640
716	9190	3627
717	9202	3614
718	9215	3601
719	9227	3588
720	9239	3575
721	9252	3562
722	9264	3549
723	9277	3536
724	9290	3523
725	9302	3510
726	9314	3497
727	9327	3484
728	9339	3472
729	9352	3459
730	9366	3446
731	9380	3434
732	9392	3421
733	9405	3408
734	9417	3395
735	9429	3382
736	9445	3370
737	9457	3357
738	9470	3344
739	9483	3331
740	9495	3318
741	9507	3305
742	9519	3292
743	9533	3280
744	9546	3267
745	9558	3254
746	9570	3241
747	9583	3228
748	9595	3215
749	9608	3202
750	9622	3190
751	9636	3178
752	9649	3165
753	9661	3152
754	9674	3139
755	9687	3126
756	9699	3113
757	9712	3100
758	9726	3088
759	9739	3075
760	9752	3062
761	9764	3049
762	9776	3036
763	9789	3023
764	9801	3010
765	9813	2997
766	9824	2984
767	9836	2971
768	9848	2958
769	9861	2945
770	9873	2932
771	9885	2919
772	9897	2906
773	9909	2893
774	9921	2880
775	9934	2867
776	9947	2854
777	9960	2842
778	9971	2828
779	9983	2815
780	9995	2802
781	10008	2789
782	10022	2777
783	10034	2764
784	10047	2751
785	10061	2739
786	10074	2726
787	10087	2713
788	10099	2700
789	10111	2687
790	10124	2675
791	10135	2661
792	10148	2649
793	10161	2636
794	10174	2623
795	10187	2610
796	10200	2598
797	10212	2585
798	10224	2572
799	10236	2559
800	10249	2546
801	10262	2533
802	10274	2520
803	10287	2507
804	10300	2495
805	10313	2482
806	10325	2469
807	10337	2456
808	10349	2443
809	10362	2430
810	10374	2417
811	10387	2404
812	10399	2392
813	10412	2379
814	10424	2366
815	10439	2354
816	10452	2341
817	10464	2328
818	10476	2315
819	10489	2302
820	10502	2289
821	10515	2277
822	10528	2264
823	10540	2251
824	10554	2238
825	10566	2225
826	10578	2212
827	10590	2200
828	10602	2187
829	10614	2174
830	10626	2161
831	10638	2148
832	10650	2135
833	10662	2122
834	10673	2109
835	10685	2096
836	10698	2083
837	10710	2070
838	10723	2057
839	10737	2045
840	10749	2032
841	10762	2019
842	10775	2006
843	10787	1993
844	10799	1981
845	10812	1968
846	10823	1955
847	10835	1942
848	10848	1929
849	10861	1916
850	10874	1904
851	10886	1891
852	10898	1878
853	10910	1865
854	10922	1852
855	10934	1839
856	10946	1826
857	10959	1813
858	10973	1801
859	10985	1788
860	10999	1775
861	11011	1762
862	11024	1750
863	11037	1737
864	11051	1724
865	11064	1712
866	11076	1699
867	11088	1686
868	11101	1673
869	11113	1660
870	11125	1647
871	11137	1634
872	11150	1622
873	11163	1609
874	11175	1596
875	11187	1583
876	11199	1570
877	11211	1557
878	11224	1545
879	11237	1532
880	11250	1519
881	11261	1506
882	11273	1493
883	11285	1480
884	11298	1468
885	11310	1455
886	11322	1442
887	11335	1429
888	11348	1416
889	11360	1404
890	11372	1391
891	11384	1378
892	11397	1365
893	11409	1352
894	11421	1339
895	11434	1327
896	11448	1314
897	11462	1301
898	11474	1289
899	11487	1276
900	11499	1263
901	11512	1250
902	11524	1237
903	11536	1225
904	11548	1212
905	11560	1199
906	11573	1186
907	11585	1173
908	11598	1161
909	11610	1148
910	11622	1135
911	11635	1122
912	11647	1109
913	11660	1097
914	11671	1084
915	11684	1071
916	11696	1058
917	11708	1045
918	11720	1033
919	11734	1020
920	11746	1007
921	11759	994
922	11771	981
923	11783	969
924	11795	956
925	11808	943
926	11820	930
927	11833	918
928	11845	905
929	11858	892
930	11869	879
931	11882	866
932	11894	854
933	11906	841
934	11919	828
935	11932	815
936	11944	803
937	11956	790
938	11968	777
939	11980	764
940	11992	751
941	12005	739
942	12018	726
943	12030	713
944	12043	700
945	12055	688
946	12067	675
947	12080	662
948	12092	649
949	12105	637
950	12117	624
951	12130	611
952	12143	598
953	12158	586
954	12170	573
955	12183	560
956	12196	548
957	12209	535
958	12221	522
959	12234	509
960	12246	497
961	12258	484
962	12272	471
963	12284	458
964	12297	446
965	12310	433
966	12324	420
967	12337	407
968	12350	395
969	12364	382
970	12377	369
971	12390	356
972	12403	344
973	12416	331
974	12431	318
975	12445	306
976	12457	293
977	12470	280
978	12481	267
979	12493	254
980	12506	242
981	12518	229
982	12530	216
983	12542	203
984	12553	191
985	12567	178
986	12578	165
987	12590	152
988	12604	140
989	12616	127
990	12627	114
991	12639	101
992	12652	89
993	12664	76
994	12678	63
995	12690	50
996	12703	38
997	12716	25
998	12729	12
999	12743	0
