iter	Logloss
0	0.6504151228
1	0.6138593566
2	0.5814697894
3	0.5526126188
4	0.5269024752
5	0.5037145075
6	0.4837830741
7	0.4654567189
8	0.4486911047
9	0.4331348871
10	0.4198459213
11	0.4083161918
12	0.3984973835
13	0.3898509109
14	0.3824082075
15	0.375038003
16	0.3685853935
17	0.3630490966
18	0.357791724
19	0.3530443299
20	0.348924326
21	0.3454669148
22	0.3420526887
23	0.3393334835
24	0.3365761706
25	0.3343166921
26	0.3322939472
27	0.3303432039
28	0.3284526059
29	0.3268382365
30	0.3251871466
31	0.3239555817
32	0.3228853988
33	0.3217077762
34	0.3208099418
35	0.3197928898
36	0.3188169031
37	0.3179284647
38	0.3168907624
39	0.3161440501
40	0.3156550883
41	0.3148096781
42	0.3138878431
43	0.3131835048
44	0.3126891776
45	0.3121016749
46	0.3116084732
47	0.3109004968
48	0.3103527246
49	0.3100115611
50	0.3097213824
51	0.3093320869
52	0.3087475942
53	0.3084543009
54	0.308236307
55	0.3078645736
56	0.3073469787
57	0.307082999
58	0.3067438508
59	0.3064839803
60	0.3062032238
61	0.3058349191
62	0.305531523
63	0.3053043686
64	0.304936535
65	0.3047047218
66	0.3045263536
67	0.3043424891
68	0.3041331584
69	0.3038308355
70	0.3036657631
71	0.3035466765
72	0.3032523886
73	0.3029722865
74	0.3027396619
75	0.302498662
76	0.3023671695
77	0.3019446607
78	0.3017912353
79	0.3016144898
80	0.3013895339
81	0.3012233361
82	0.3010598341
83	0.3009056759
84	0.3004915162
85	0.3002636551
86	0.299938588
87	0.2997967833
88	0.2995930536
89	0.2993930143
90	0.2991783443
91	0.298951661
92	0.2988401645
93	0.2987420162
94	0.298625259
95	0.2985497241
96	0.2983483238
97	0.2982273527
98	0.2981010686
99	0.2980113741
100	0.2978713754
101	0.2976425459
102	0.2974924182
103	0.2974023835
104	0.2972508426
105	0.2971558612
106	0.297075589
107	0.2969803197
108	0.2968441422
109	0.2967158165
110	0.2965587793
111	0.296444744
112	0.2962683126
113	0.2961002304
114	0.2958922607
115	0.2956415245
116	0.2953995301
117	0.2951384818
118	0.2950644649
119	0.2949891393
120	0.294836185
121	0.2947236154
122	0.2945464512
123	0.2944178638
124	0.2941879613
125	0.2940969058
126	0.2940153511
127	0.2938841727
128	0.2938133227
129	0.293748126
130	0.2936742662
131	0.2935403134
132	0.293413689
133	0.2933461629
134	0.2931955642
135	0.2930499906
136	0.2926500952
137	0.2925962576
138	0.2925347775
139	0.2924639798
140	0.2922818689
141	0.2921529937
142	0.2919966369
143	0.2916914611
144	0.2916134659
145	0.2915155794
146	0.2913885885
147	0.2912484066
148	0.2910950335
149	0.2909636718
150	0.2909010401
151	0.2907612508
152	0.2905909962
153	0.2905342534
154	0.2903357059
155	0.2902268006
156	0.2900977159
157	0.2898976504
158	0.2897408225
159	0.2896308703
160	0.2895621403
161	0.2894406981
162	0.2893334417
163	0.2892720924
164	0.2891755668
165	0.2890982783
166	0.2889679112
167	0.2888495051
168	0.2886925987
169	0.2885586982
170	0.2884760181
171	0.2883683952
172	0.2882774183
173	0.2881825939
174	0.2879522988
175	0.2878085311
176	0.287643642
177	0.2875115998
178	0.2873822534
179	0.2873011437
180	0.2872024981
181	0.2870116716
182	0.2868508916
183	0.2867210218
184	0.2866015426
185	0.2865106704
186	0.2864086747
187	0.2862856883
188	0.2861997627
189	0.2861159833
190	0.2860116059
191	0.2859374058
192	0.2858110693
193	0.2856928464
194	0.2856065282
195	0.2854362998
196	0.2853315821
197	0.2852098521
198	0.2850693299
199	0.2848441122
200	0.2847770573
201	0.284659986
202	0.2845928002
203	0.2845100939
204	0.284399592
205	0.2843309667
206	0.2842595148
207	0.2841926954
208	0.2840144843
209	0.283919974
210	0.2838165911
211	0.2836991011
212	0.2835940693
213	0.2834715802
214	0.2833551109
215	0.2832721691
216	0.2831555427
217	0.2830336033
218	0.2829110095
219	0.2827965031
220	0.2827092951
221	0.2826412456
222	0.2824534029
223	0.2823521923
224	0.282248286
225	0.2821710236
226	0.2820892072
227	0.2819914515
228	0.2819136657
229	0.2817464995
230	0.281601842
231	0.2815236113
232	0.281439387
233	0.2813286233
234	0.2812232775
235	0.2811655401
236	0.2810967316
237	0.2810186056
238	0.2809212163
239	0.2807826832
240	0.2805952854
241	0.2804933944
242	0.280389933
243	0.2802791955
244	0.280179948
245	0.2800434302
246	0.2799014947
247	0.2797918565
248	0.2796644993
249	0.2795397855
250	0.2794103606
251	0.2792956972
252	0.279207704
253	0.2790784885
254	0.2789639298
255	0.2788681371
256	0.2787690465
257	0.2786760019
258	0.2785805756
259	0.2784308667
260	0.2783203648
261	0.278190338
262	0.2781184672
263	0.278041676
264	0.2779396018
265	0.2778399878
266	0.2777034439
267	0.2776214181
268	0.2775074352
269	0.2774425264
270	0.277265179
271	0.2771074612
272	0.2769763351
273	0.2768711987
274	0.276763916
275	0.2766795347
276	0.2765552658
277	0.2764257624
278	0.2762818377
279	0.2762081611
280	0.2761253763
281	0.2759923133
282	0.2758691438
283	0.2756958008
284	0.2755681818
285	0.2754880143
286	0.2754342552
287	0.2752467265
