Model,Dış Test ROC-AUC,Dış Test PR-AUC (AP),Dış Test F1-Skoru (t=0.5),Dış Test Recall,Dış Test Brier Skoru
Random Forest (Optimize v2),0.8152947532354954,0.4076149102007781,0.2300884955752212,0.1394849785407725,0.0737685189359147
Random Forest,0.7934228630601261,0.3475296768761925,0.2569832402234637,0.1727467811158798,0.0773111051115678
CatBoost,0.7692966934338393,0.3128793255107162,0.3445881981697696,0.5858369098712446,0.1547650672616374
XGBoost,0.7634371257668665,0.3086985614141157,0.3380191693290735,0.5675965665236051,0.1495481466644897
LightGBM,0.743158449701789,0.2764433446825922,0.298718284070102,0.6126609442060086,0.1835918342894947
"MLP (Derin Öğrenme, Optimize)",0.6742656916607761,0.1889895548982749,0.2406234778373112,0.2650214592274678,0.1353285265258987
Decision Tree,0.6449102888268394,0.1904556116538845,0.3474178403755869,0.3572961373390558,0.1340114755660366
Logistic Regression,0.6280826076756414,0.1525307839939327,0.2270593256508749,0.5708154506437768,0.2365117660587767
