etiket,atil_statik,atil_over,gor_statik,gor_over,atil_azalma,gor_artis
İyimser (rastgele),75.58,56.05,18.023333333333333,18.552,19.53,0.5286666666666662
Gerçekçi (kronolojik),75.58,70.85333333333334,18.023333333333333,18.15,4.7266666666666595,0.12666666666666515
