ortalama_hasta_bekleme_dk,hekim_atil_sure_dk,hekim_mesai_asimi_dk,gorulen_hasta_sayisi,gun,politika
2.7211891832821102,15,16.128333910146466,19,0,statik
2.7211891832821102,0,16.128333910146466,19,0,hibrit
58.56713852899449,30,121.02490797145134,18,1,statik
58.56713852899449,0,121.02490797145134,18,1,hibrit
0.19580487223941878,60,0.0,16,2,statik
0.19580487223941878,0,0.0,16,2,hibrit
13.394968635205219,15,1.7714188127931152,19,3,statik
12.813791144084615,0,7.511561602481606,20,3,hibrit
28.57488909388589,15,26.729478167995183,19,4,statik
28.57488909388589,0,26.729478167995183,19,4,hibrit
4.504663298329118,0,23.830809806269144,20,5,statik
6.514379292174272,0,35.729611402496516,21,5,hibrit
0.40397022859585174,60,17.378963995380218,16,6,statik
0.40397022859585174,0,17.378963995380218,16,6,hibrit
3.60198850231802,75,0.0,15,7,statik
6.013023567419303,0,0.0,17,7,hibrit
10.621795179703994,45,0.0,17,8,statik
10.621795179703994,0,0.0,17,8,hibrit
5.024032263101452,45,47.131462330727686,17,9,statik
8.50720549120151,0,44.48766348764286,18,9,hibrit
3.3059601181313325,0,0.5148987180872382,20,10,statik
3.3059601181313325,0,0.5148987180872382,20,10,hibrit
5.171025770130004,30,12.222225131638709,18,11,statik
5.9317347718842965,0,0.0,20,11,hibrit
34.20420987641135,15,26.26687840546731,19,12,statik
34.20420987641135,0,26.26687840546731,19,12,hibrit
4.568286182404769,45,0.0,17,13,statik
4.568286182404769,0,0.0,17,13,hibrit
14.034482241101138,30,5.459929809863752,18,14,statik
14.034482241101138,0,5.459929809863752,18,14,hibrit
17.27538627253793,15,0.0,19,15,statik
17.27538627253793,0,0.0,19,15,hibrit
2.9693712518184765,0,1.631776159438516,20,16,statik
2.9693712518184765,0,1.631776159438516,20,16,hibrit
0.6673748882081625,45,4.106180243602694,17,17,statik
2.718441224640213,0,0.0,18,17,hibrit
3.6179576430703233,15,6.972200048425066,19,18,statik
3.785669763338062,0,0.0,20,18,hibrit
16.616801898670108,30,0.0,18,19,statik
18.521879934666163,0,0.0,19,19,hibrit
17.631582266542043,15,0.0,19,20,statik
17.631582266542043,0,0.0,19,20,hibrit
53.853621299091756,30,77.26017756234836,18,21,statik
67.45396636557895,0,80.26017756234836,19,21,hibrit
4.01496959876818,15,0.0,19,22,statik
4.01496959876818,0,0.0,19,22,hibrit
0.5375034030733048,75,0.0,15,23,statik
0.5795944770772241,0,0.0,16,23,hibrit
10.337184256178746,30,0.0,18,24,statik
10.337184256178746,0,0.0,18,24,hibrit
9.665619842514102,30,0.0,18,25,statik
9.665619842514102,0,0.0,18,25,hibrit
3.9809114587743135,45,0.0,17,26,statik
3.9809114587743135,0,0.0,17,26,hibrit
21.20203335444795,15,0.0,19,27,statik
24.666472706379277,0,0.0,21,27,hibrit
38.37091483626645,30,104.13555321386292,18,28,statik
38.37091483626645,0,104.13555321386292,18,28,hibrit
1.7975814729412298,15,0.0,19,29,statik
1.7975814729412298,0,0.0,19,29,hibrit
0.2886936336745786,30,37.61032228791521,18,30,statik
0.2886936336745786,0,37.61032228791521,18,30,hibrit
9.490691378372688,45,33.50946123302447,17,31,statik
9.490691378372688,0,33.50946123302447,17,31,hibrit
26.7263048667866,45,84.24719657438698,17,32,statik
26.7263048667866,0,84.24719657438698,17,32,hibrit
9.25701054214778,30,25.80969524487142,18,33,statik
10.952087301128316,0,13.80969524487142,19,33,hibrit
4.568712081205213,15,17.781280469029866,19,34,statik
4.568712081205213,0,17.781280469029866,19,34,hibrit
3.199706419215548,0,0.0,20,35,statik
3.199706419215548,0,0.0,20,35,hibrit
3.944305265606227,0,0.0,20,36,statik
3.7564812053392638,0,0.0,21,36,hibrit
11.998069395292395,15,0.0,19,37,statik
11.998069395292395,0,0.0,19,37,hibrit
27.205349997760656,15,0.0,19,38,statik
27.205349997760656,0,0.0,19,38,hibrit
7.873742650187584,45,0.0,17,39,statik
7.873742650187584,0,0.0,17,39,hibrit
11.780325626697904,30,0.0,18,40,statik
11.780325626697904,0,0.0,18,40,hibrit
17.095155405104055,30,0.0,18,41,statik
20.882850562153035,0,21.75887678908805,21,41,hibrit
0.9816523696910484,45,0.0,17,42,statik
1.0672180922349432,0,0.0,19,42,hibrit
1.6034990881254545,30,0.6505073354293245,18,43,statik
1.5533416274572371,0,0.0,19,43,hibrit
9.615486851321878,30,6.098843967584969,18,44,statik
11.591239232166963,0,0.0,19,44,hibrit
4.780837953662407,45,0.0,17,45,statik
5.594610325996174,0,0.0,19,45,hibrit
11.579450973962635,60,0.0,16,46,statik
13.17949141603833,0,0.0,17,46,hibrit
4.279618801600061,30,15.590535130817727,18,47,statik
4.279618801600061,0,15.590535130817727,18,47,hibrit
0.432045508762305,30,0.0,18,48,statik
0.432045508762305,0,0.0,18,48,hibrit
2.685977864468486,0,0.0,20,49,statik
3.925958602435822,0,0.0,21,49,hibrit
11.921155499083612,30,0.0,18,50,statik
11.921155499083612,0,0.0,18,50,hibrit
12.99829146143831,0,0.0,20,51,statik
12.99829146143831,0,0.0,20,51,hibrit
18.90751398629729,15,0.0,19,52,statik
28.40927977001086,0,0.0,20,52,hibrit
17.40004852364968,30,0.0,18,53,statik
16.48425649608917,0,8.990759225420675,19,53,hibrit
1.1099497172406019,45,0.0,17,54,statik
1.0482858440605685,0,0.0,18,54,hibrit
2.222052401600262,0,0.0,20,55,statik
2.596287867751397,0,0.0,21,55,hibrit
0.9142968677234888,60,0.0,16,56,statik
0.1753030822487926,0,0.0,18,56,hibrit
4.477193607959795,45,0.0,17,57,statik
4.4759767063478995,0,0.0,18,57,hibrit
19.86211604368346,30,24.9049390575218,18,58,statik
19.86211604368346,0,24.9049390575218,18,58,hibrit
1.1598784901125905,30,0.0,18,59,statik
1.620230486637724,0,18.72528762723084,20,59,hibrit
1.9259298058210816,15,0.0,19,60,statik
4.417099812442485,0,0.0,20,60,hibrit
33.98560647322969,0,17.20800889899482,20,61,statik
33.98560647322969,0,17.20800889899482,20,61,hibrit
1.7834367017080828,75,0.0,15,62,statik
2.731200293185541,0,0.0,16,62,hibrit
1.7757249842038225,45,0.0,17,63,statik
1.7757249842038225,0,0.0,17,63,hibrit
7.229058031659697,15,12.470883342930676,19,64,statik
9.704005956280723,0,1.922502472441522,20,64,hibrit
0.31963295627089466,15,16.544723868876304,19,65,statik
1.6052726632698389,0,47.18619166821361,20,65,hibrit
1.4316127977425652,0,0.0,20,66,statik
