boyut,grup,N,no_show_oran,ROC-AUC,not
cinsiyet,Kadın,2288,0.10358391608391608,0.7694733658789475,
cinsiyet,Erkek,7040,0.09872159090909091,0.7774502100447301,
yas,0-17,7801,0.09998718113062428,0.7782022978682999,
yas,18-39,473,0.07822410147991543,0.7659310686833622,
yas,40-64,587,0.09880749574105621,0.749560002607392,
yas,65+,468,0.12179487179487179,0.7636914671105989,
