Senaryo,ROC-AUC,PR-AUC,Brier,oznitelik,N_test
"A: Rastgele split, geçmiş YOK",0.7766647576464311,0.29737598273800425,0.08043423947981482,54,9329
"B: Rastgele split, geçmiş VAR",0.764328065766386,0.2758473985411393,0.0817455349312716,58,9329
"C: Kronolojik split, geçmiş YOK",0.5505568595211103,0.18653934815293766,0.1401302272575877,54,8900
"D: Kronolojik split, geçmiş VAR",0.5401981121677792,0.18495847016292088,0.1414526418140739,58,8900
