Model,roc_auc,average_precision,f1,recall,Brier Score
LightGBM,0.7226 (+/-0.0065),0.2538 (+/-0.0137),0.0415 (+/-0.0063),0.0215 (+/-0.0034),0.0833 (+/-0.0006)
CatBoost,0.7199 (+/-0.0044),0.2558 (+/-0.0183),0.0661 (+/-0.0087),0.0354 (+/-0.0048),0.0832 (+/-0.0009)
XGBoost,0.7184 (+/-0.0045),0.2514 (+/-0.0130),0.1064 (+/-0.0118),0.0595 (+/-0.0062),0.0838 (+/-0.0009)
Random Forest,0.7043 (+/-0.0038),0.2132 (+/-0.0077),0.1624 (+/-0.0097),0.1188 (+/-0.0067),0.0939 (+/-0.0010)
Logistic Regression,0.6365 (+/-0.0051),0.1569 (+/-0.0066),0.0000 (+/-0.0000),0.0000 (+/-0.0000),0.0881 (+/-0.0003)
Decision Tree,0.6094 (+/-0.0038),0.1563 (+/-0.0045),0.2741 (+/-0.0092),0.2715 (+/-0.0106),0.1434 (+/-0.0046)
