Senaryo,ROC-AUC,PR-AUC,Brier,N_egitim,N_test,oznitelik_sayisi
"A: Rastgele split, geçmiş YOK",0.6200774332963175,0.16213608118538678,0.09445531164302666,31394,7849,35
"B: Rastgele split, geçmiş VAR",0.6405305281270945,0.20120260531666695,0.09627692708888948,31394,7849,39
"C: Kronolojik split, geçmiş YOK",0.5507164336406375,0.17010427641412862,0.1355989463895413,33294,5949,35
"D: Kronolojik split, geçmiş VAR",0.6105712854619815,0.19124009602397443,0.13619680540551324,33294,5949,39
