Senaryo,N_egitim,N_test,ROC-AUC,PR-AUC,Brier,taban_pozitif_oran
"A: Rastgele split, geçmiş YOK",12213,3054,0.6110499737527068,0.1708168099480435,0.07885044983074185,0.08578912901113293
"B: Rastgele split, geçmiş VAR",12213,3054,0.6715253778516591,0.22687018253437063,0.07472182569176798,0.08578912901113293
"C: Kronolojik split, geçmiş YOK",12771,2496,0.5387735832200589,0.1475653281615035,0.12570794912217884,0.13501602564102563
"D: Kronolojik split, geçmiş VAR",12771,2496,0.6758871496447828,0.2602712694129364,0.11159440854712334,0.13501602564102563
