esik_pt,nb_model,nb_hepsi,nb_hicbiri,en_iyi_strateji
0.05,0.06315338136315168,0.05253002803933404,0.0,Model
0.1,0.04120960922332988,-0.00010719262514739814,0.0,Model
0.15,0.026993625191528002,-0.05893702748545018,0.0,Model
0.2,0.015167756458355663,-0.12512059170329082,0.0,Model
0.25,0.008182370386250755,-0.20012863115017687,0.0,Model
0.3,0.004180512380748201,-0.28585210480376094,0.0,Model
0.4,0.001643620252259977,-0.5001607889377212,0.0,Model
0.5,0.001071926251473899,-0.8001929467252653,0.0,Model
