Strateji,CV ROC-AUC,CV PR-AUC,CV Brier,Süre (sn)
Yeniden Örnekleme Yok (Mevcut Şampiyon),0.7840685512253154,0.3794515966260118,0.07599728590563033,136.77756237983704
SMOTEENN,0.7152211156410508,0.21801956842952822,0.09849452427757242,316.26826190948486
Borderline-SMOTE,0.7147515191738859,0.2296128021719742,0.08724571703641881,281.6360192298889
SMOTETomek,0.7138954909933065,0.23026864802959657,0.08709345432530691,381.15313029289246
SMOTE (Düz),0.7138241084088672,0.2299658418952299,0.08707583427664795,287.09663009643555
