Bölme,Geçmiş,ROC-AUC,GA_alt,GA_ust,PR-AUC,Brier,N_test,test_hasta
Satır-rastgele (hasta sızıntısı VAR),geçmiş YOK,0.7752996931767476,0.7595318116983149,0.7906953500536751,0.29698977517927094,0.08048098650036582,9329,1065
Satır-rastgele (hasta sızıntısı VAR),geçmiş VAR,0.763683675602517,0.7489964758576283,0.7785463141431093,0.2761878469479282,0.08173064775881027,9329,1065
"Hasta-gruplu (hasta-ayrık, zamanda rastgele)",geçmiş YOK,0.6580032895829634,0.637526630331613,0.67701584240368,0.19755740394102334,0.08780264610303536,9685,287
"Hasta-gruplu (hasta-ayrık, zamanda rastgele)",geçmiş VAR,0.6499995100519417,0.6317419902948315,0.6673646007430709,0.20244153576069893,0.08915714233329251,9685,287
Kronolojik (hasta-ayrık + zamansal kayma),geçmiş YOK,0.5479674538444927,0.5323092554870262,0.5629121784546982,0.1868786640986161,0.1408968478931868,8900,290
Kronolojik (hasta-ayrık + zamansal kayma),geçmiş VAR,0.5481293092718886,0.5319317629134855,0.5627487214282224,0.18848336574109414,0.1421438471646333,8900,290
